Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Abstract Class,ext.plantuml.com.google.zxing.qrcode.decoder.DataMask,9,8,3,0,4,1,0,72,1,0,7,NO
Abstract Class,net.sourceforge.plantuml.bpm.AbstractConnectorPuzzle,1,2,5,1,5,0,4,21,1,0,6,NO
Abstract Class,net.sourceforge.plantuml.cucadiagram.dot.AbstractGraphviz,9,3,13,3,15,2,6,136,1,76,33,YES
Abstract Class,net.sourceforge.plantuml.geom.AbstractFigure,11,2,22,1,23,7,11,242,1,59,63,NO
Abstract Class,net.sourceforge.plantuml.geom.AbstractPolyline,5,2,19,2,19,1,18,138,1,89,36,NO
Abstract Class,net.sourceforge.plantuml.graph.AbstractEntityImage,6,4,13,10,13,0,3,50,1,90,12,NO
Abstract Class,net.sourceforge.plantuml.graphic.USymbolSimpleAbstract,3,5,3,0,15,0,2,41,2,0,3,NO
Abstract Class,net.sourceforge.plantuml.posimo.AbstractEntityImage2,8,1,7,3,7,0,2,28,1,55,7,NO
Abstract Class,net.sourceforge.plantuml.real.AbstractReal,1,4,6,1,6,0,3,22,1,0,5,NO
Abstract Class,net.sourceforge.plantuml.real.RealMoveable,2,3,6,3,12,0,4,26,2,60,5,NO
Abstract Class,net.sourceforge.plantuml.salt.element.AbstractElementText,13,3,7,3,7,2,1,40,2,61,9,NO
Abstract Class,net.sourceforge.plantuml.ScaleProtected,0,7,2,0,2,0,1,13,1,0,3,NO
Abstract Class,net.sourceforge.plantuml.sequencediagram.command.CommandExoArrowAny,26,2,7,0,20,4,1,134,2,0,33,YES
Abstract Class,net.sourceforge.plantuml.sequencediagram.graphic.Arrow,7,5,17,5,25,0,8,60,2,80,16,NO
Abstract Class,net.sourceforge.plantuml.sequencediagram.graphic.GraphicalElement,3,11,8,1,8,0,4,19,1,25,4,NO
Abstract Class,net.sourceforge.plantuml.sequencediagram.graphic.GroupingGraphicalElement,2,3,4,1,12,0,3,22,2,0,5,NO
Abstract Class,net.sourceforge.plantuml.sequencediagram.graphic.Step1Abstract,16,2,13,7,13,0,0,61,1,79,14,NO
Abstract Class,net.sourceforge.plantuml.svek.extremity.ExtremityExtendsLike,5,2,3,3,8,2,2,102,2,50,4,NO
Abstract Class,net.sourceforge.plantuml.timingdiagram.command.CommandChangeState,13,2,3,0,18,1,0,35,2,0,6,YES
Abstract Class,net.sourceforge.plantuml.ugraphic.AbstractShadowable,0,5,2,1,2,0,2,9,1,0,2,NO
Abstract Class,net.sourceforge.plantuml.ugraphic.color.HColorAbstract,1,6,1,0,1,0,1,9,1,0,1,NO
Abstract Class,net.sourceforge.plantuml.wbs.WBSTextBlock,21,2,6,3,8,1,2,39,2,61,8,NO
Abstract Class,net.sourceforge.plantuml.xmi.XmiClassDiagramAbstract,11,3,5,4,5,0,2,105,1,70,16,NO
Class,ext.plantuml.com.ctreber.acearth.scanbit.ScanBuf,3,0,6,6,6,0,6,112,1,50,21,NO
Class,ext.plantuml.com.google.zxing.common.reedsolomon.GF256Poly,1,0,12,2,12,0,1,190,1,25,47,NO
Class,ext.plantuml.com.google.zxing.datamatrix.decoder.BitMatrixParser,3,0,10,3,10,0,0,297,1,66,70,NO
Class,ext.plantuml.com.google.zxing.datamatrix.decoder.DataBlock,3,0,3,2,4,1,0,58,1,37,15,NO
Class,ext.plantuml.com.google.zxing.qrcode.decoder.BitMatrixParser,5,0,5,3,5,1,0,115,1,53,30,NO
Class,ext.plantuml.com.google.zxing.qrcode.decoder.DataBlock,4,0,3,2,4,1,0,65,1,37,16,NO
Class,ext.plantuml.com.google.zxing.qrcode.decoder.FormatInformation,1,0,5,2,8,2,2,108,1,50,16,NO
Class,ext.plantuml.com.google.zxing.qrcode.encoder.BlockPair,0,0,3,2,3,0,2,14,1,33,3,NO
Class,jcckit.util.FormatElement,0,0,6,9,8,5,2,166,1,66,46,NO
Class,net.sourceforge.plantuml.activitydiagram3.ftile.FtileWithConnection,2,0,5,1,24,0,4,31,3,19,8,NO
Class,net.sourceforge.plantuml.activitydiagram3.ftile.FtileWithSwimlanes,1,0,3,2,22,0,2,17,3,33,3,NO
Class,net.sourceforge.plantuml.activitydiagram3.ftile.Swimlanes.Cross,7,0,3,0,16,1,2,26,2,0,7,NO
Class,net.sourceforge.plantuml.activitydiagram3.ftile.vcompact.FtileForkInner,6,0,8,1,25,0,8,63,3,22,16,NO
Class,net.sourceforge.plantuml.activitydiagram3.ftile.vcompact.FtileForkInnerOverlapped,6,0,7,1,24,0,7,54,3,25,15,NO
Class,net.sourceforge.plantuml.activitydiagram3.ftile.vcompact.FtileIfAndStop,29,0,12,4,29,6,5,129,3,63,18,NO
Class,net.sourceforge.plantuml.activitydiagram3.ftile.vcompact.FtileIfLongHorizontal,28,0,14,6,33,9,6,516,3,72,50,NO
Class,net.sourceforge.plantuml.activitydiagram3.ftile.vcompact.FtileIfLongVertical,28,0,15,7,32,8,6,365,3,66,38,NO
Class,net.sourceforge.plantuml.activitydiagram3.ftile.vcompact.FtileRepeat,30,0,15,5,32,8,7,426,3,55,33,YES
Class,net.sourceforge.plantuml.activitydiagram3.ftile.vcompact.FtileSplit1,6,0,7,1,24,0,7,52,3,37,14,NO
Class,net.sourceforge.plantuml.activitydiagram3.ftile.vcompact.FtileSwitch,18,0,10,3,27,3,6,103,3,66,24,NO
Class,net.sourceforge.plantuml.activitydiagram3.ftile.vcompact.FtileWhile,29,0,13,4,30,6,7,452,3,57,30,YES
Class,net.sourceforge.plantuml.brotli.BitReader,3,0,0,0,16,3,0,207,1,0,47,NO
