CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
4,0,0,0,1,0,1,58,1,0,2,YES
23,0,50,21,50,0,50,443,1,92,108,YES
20,0,0,0,24,5,19,404,1,87,78,YES
22,0,17,6,18,12,6,795,1,92,101,YES
10,0,7,11,7,1,6,126,1,70,21,YES
10,0,5,3,6,0,5,95,1,44,10,YES
9,0,8,13,8,0,6,273,1,71,35,YES
1,0,7,5,7,0,5,52,1,71,7,YES
12,1,37,8,38,0,24,340,1,90,52,YES
16,1,13,12,51,1,6,432,2,69,76,YES
1,0,0,0,2,0,2,19,1,0,2,YES
66,0,76,38,80,22,26,3413,1,95,455,YES
39,0,27,15,28,17,2,1613,1,90,197,YES
3,0,10,4,10,0,8,111,1,77,20,YES
14,0,10,4,12,1,6,416,1,85,65,YES
27,1,130,28,132,2,86,1784,1,95,322,YES
64,0,76,29,78,4,48,1318,1,97,186,YES
30,0,19,7,19,0,3,694,1,83,64,YES
21,3,32,0,215,1,24,374,3,96,65,YES
45,0,30,17,213,1,11,1093,3,92,160,YES
11,0,12,6,12,0,0,388,1,79,39,YES
27,0,59,3,59,2,35,608,1,84,117,YES
11,0,25,4,25,0,25,427,1,92,28,YES
5,3,14,14,14,0,3,357,1,92,20,YES
3,0,10,5,10,0,9,76,1,68,13,YES
38,0,40,11,40,0,19,1118,1,89,120,YES
2,0,9,2,9,0,8,56,1,44,9,YES
52,0,74,47,77,3,53,3827,1,94,278,YES
10,0,32,8,32,0,29,239,1,85,33,YES
37,0,49,33,49,1,28,2418,1,91,303,YES
15,0,37,12,37,5,0,758,1,84,134,YES
4,0,22,10,22,0,15,173,1,80,26,YES
21,0,33,10,33,0,32,477,1,84,53,YES
27,0,51,39,52,3,17,1835,1,94,232,YES
8,0,0,0,20,3,17,390,1,77,79,YES
0,0,17,3,17,1,16,79,1,33,20,YES
1,0,11,1,11,0,10,61,1,0,11,YES
3,0,26,9,26,0,12,173,1,81,35,YES
19,0,58,23,58,2,28,938,1,93,160,YES
6,0,18,8,18,0,1,317,1,74,68,YES
1,0,2,1,2,0,1,16,1,0,2,YES
17,0,9,8,9,0,6,559,1,76,36,YES
7,0,38,3,38,0,37,228,1,84,38,YES
23,0,48,7,51,0,47,575,1,94,65,YES
1,0,9,3,9,2,2,150,1,37,29,YES
15,0,46,11,46,0,38,393,1,89,56,YES
76,0,82,46,82,4,50,2255,1,95,268,YES
2,0,10,2,64,0,8,71,2,40,10,YES
8,0,12,7,52,0,11,134,4,64,15,YES
23,0,0,0,35,0,3,965,1,92,108,YES
21,0,15,11,15,1,10,267,1,73,38,YES
10,0,4,2,5,0,2,111,1,53,15,YES
2,0,13,6,13,0,8,86,1,74,13,YES
6,0,3,2,3,0,2,34,1,0,5,YES
19,0,22,14,22,3,13,1273,1,85,106,YES
7,0,12,2,12,0,12,97,1,16,12,YES
9,2,54,23,54,1,48,476,1,92,89,YES
9,0,6,2,6,0,6,187,1,33,27,YES
8,0,17,23,18,0,7,598,1,89,36,YES
5,0,13,8,14,0,8,164,1,75,29,YES
1,0,5,2,5,0,5,44,2,40,5,YES
3,0,0,0,2,0,2,39,1,50,6,YES
4,0,14,10,14,0,6,101,1,81,15,YES
28,0,31,24,33,0,9,630,1,91,87,YES
4,0,17,10,17,0,15,119,1,84,17,YES
17,0,41,23,41,0,25,1062,1,90,180,YES
6,0,26,5,26,0,25,289,1,63,51,YES
6,0,28,8,28,0,25,455,1,77,79,YES
6,0,19,12,19,0,10,305,1,84,48,YES
13,0,15,5,15,0,12,284,1,66,47,YES
8,0,12,1,12,0,11,370,1,41,80,YES
10,0,19,16,21,4,10,634,1,72,120,YES
14,2,35,11,36,3,13,736,1,82,140,YES
16,0,11,11,13,0,4,295,1,81,43,YES
21,0,25,13,25,0,13,982,1,87,84,YES
0,0,4,2,4,0,4,19,1,37,4,YES
10,0,8,4,9,1,8,150,1,75,19,YES
14,0,4,7,4,1,3,274,1,57,40,YES
91,0,49,26,54,7,40,1987,1,95,218,YES
1,0,1,0,4,0,4,101,1,0,19,YES
28,0,50,26,51,2,23,975,1,94,140,YES
13,0,13,12,16,3,9,249,2,85,44,YES
3,0,12,9,16,0,9,144,2,79,20,YES
6,0,6,4,6,0,4,77,1,79,14,YES
23,0,12,9,13,0,3,259,1,80,35,YES
40,0,76,15,76,0,73,601,1,95,95,YES
8,0,78,1,78,0,77,396,1,96,78,YES
31,0,127,6,127,0,125,749,1,97,129,YES
14,0,50,5,55,0,50,316,2,94,59,YES
8,0,52,1,58,1,50,357,2,90,55,YES
12,0,0,0,8,0,8,180,1,81,22,YES
6,0,0,0,9,0,6,273,1,0,28,YES
9,0,0,0,6,0,5,200,1,0,20,YES
27,0,0,0,14,2,9,492,1,90,65,YES
1,0,4,6,6,1,4,249,2,57,53,YES
1,0,4,3,6,1,4,335,2,60,53,YES
31,2,78,19,80,1,36,1104,1,93,168,YES
34,0,35,8,35,2,23,892,1,87,119,YES
51,0,33,10,36,5,23,1438,1,91,166,YES
10,0,16,1,97,0,14,256,2,67,37,YES
5,0,34,3,66,0,24,269,2,95,53,YES
4,0,2,2,2,0,2,32,1,50,2,YES
15,0,7,3,127,0,5,348,3,55,67,YES
