Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Alter
Public Class,com.logicaldoc.cmis.CmisPlugin,5,0,1,0,17,0,0,27,3,100,1,NO
Public Class,com.logicaldoc.cmis.CmisServlet,2,0,1,0,1,0,1,11,2,100,2,NO
Public Class,com.logicaldoc.cmis.Converter,0,0,1,0,54,21,33,1285,1,0,306,NO
Public Class,com.logicaldoc.cmis.LDCmisService,13,0,40,5,40,2,37,359,2,94,61,YES
Public Class,com.logicaldoc.cmis.LDRepository,39,0,67,14,77,40,37,1935,1,91,397,YES
Public Class,com.logicaldoc.cmis.RegexTester,0,0,7,13,7,0,3,158,2,63,24,NO
Public Class,com.logicaldoc.cmis.SampleClient,1,0,0,0,10,8,2,122,1,40,19,YES
Public Class,com.logicaldoc.cmis.ServiceFactory,5,0,4,0,4,0,4,32,2,0,6,NO
Public Class,com.logicaldoc.cmis.TestRegex,0,0,0,0,4,3,1,36,1,0,4,NO
Public Class,com.logicaldoc.cmis.TypeManager,6,0,9,2,14,8,6,408,1,67,61,NO
Public Abstract Class,com.logicaldoc.core.AbstractCoreTCase,1,37,6,6,6,2,2,92,1,63,19,NO
Public Class,com.logicaldoc.core.automation.Automation,8,0,7,3,8,2,6,141,1,62,32,YES
Public Class,com.logicaldoc.core.automation.ClassTool,0,0,1,0,1,0,1,10,1,0,2,NO
Public Class,com.logicaldoc.core.automation.ContextTool,1,0,2,0,2,0,2,7,1,0,2,NO
Public Class,com.logicaldoc.core.automation.DateTool,1,0,24,2,24,0,24,93,2,79,28,YES
Public Class,com.logicaldoc.core.automation.DocTool,30,0,31,0,31,1,30,299,1,87,57,YES
Public Class,com.logicaldoc.core.automation.FolderTool,10,0,6,0,6,0,6,30,1,0,9,YES
Public Class,com.logicaldoc.core.automation.I18NTool,1,0,9,0,9,0,9,30,2,0,9,NO
Public Class,com.logicaldoc.core.automation.LogTool,1,0,5,0,5,0,5,18,1,19,5,NO
Public Class,com.logicaldoc.core.automation.MailTool,12,0,7,0,7,0,7,83,1,0,16,YES
Public Class,com.logicaldoc.core.automation.NumberTool,1,0,1,0,1,0,1,4,2,0,1,YES
Public Class,com.logicaldoc.core.automation.SecurityTool,3,0,1,0,1,0,1,8,1,100,2,YES
Public Class,com.logicaldoc.core.automation.SystemTool,1,0,4,0,4,0,4,15,1,0,5,NO
Public Class,com.logicaldoc.core.communication.EMail,3,0,45,15,80,2,43,173,3,94,49,YES
Public Class,com.logicaldoc.core.communication.EMailAttachment,6,0,13,5,13,0,13,64,1,85,20,NO
Public Class,com.logicaldoc.core.communication.EMailSender,12,0,22,7,22,1,21,227,1,83,50,YES
Public Class,com.logicaldoc.core.communication.EventCollector,10,0,8,4,10,1,9,98,1,78,24,NO
Public Class,com.logicaldoc.core.communication.HibernateMessageTemplateDAO,4,0,6,0,58,0,6,72,2,0,16,NO
Public Class,com.logicaldoc.core.communication.HibernateMessageTemplateDAOTest,2,0,5,1,11,0,5,55,2,0,5,NO
Public Class,com.logicaldoc.core.communication.HibernateSystemMessageDAO,14,0,11,0,63,0,10,164,2,0,29,NO
Public Class,com.logicaldoc.core.communication.HibernateSystemMessageDAO.SystemMessageMapper,3,0,1,0,1,0,1,21,2,0,1,NO
Public Class,com.logicaldoc.core.communication.HibernateSystemMessageDAOTest,7,0,10,1,16,0,10,135,1,0,10,NO
Public Class,com.logicaldoc.core.communication.MailUtil,6,0,0,0,16,5,11,420,2,62,81,YES
Class,com.logicaldoc.core.communication.MailUtil.CustomTransport,0,0,6,0,6,0,6,20,2,0,6,NO
Public Class,com.logicaldoc.core.communication.MailUtilTest,5,0,5,0,11,0,5,76,2,0,5,YES
Public Abstract Class,com.logicaldoc.core.communication.Message,1,2,22,10,35,0,22,88,2,90,25,YES
Public Class,com.logicaldoc.core.communication.MessageTemplate,2,0,17,6,30,1,16,68,1,90,17,NO
Public Class,com.logicaldoc.core.communication.Recipient,0,0,16,5,16,0,15,74,3,81,17,YES
Public Class,com.logicaldoc.core.communication.SystemMessage,1,0,14,6,49,0,14,75,2,85,15,YES
Public Class,com.logicaldoc.core.contact.Contact,0,0,18,8,31,0,18,64,2,86,21,NO
Public Class,com.logicaldoc.core.contact.HibernateContactDAO,3,0,2,0,54,0,2,27,2,0,8,NO
Public Class,com.logicaldoc.core.contact.HibernateContactDAOTest,1,0,2,1,8,0,2,18,1,0,2,NO
Public Abstract Class,com.logicaldoc.core.conversion.AbstractFormatConverter,3,4,13,1,14,1,11,81,1,88,21,NO
Public Class,com.logicaldoc.core.conversion.FormatConverterManager,27,0,23,6,23,4,18,287,2,86,71,YES
Public Class,com.logicaldoc.core.conversion.ImageConverter,4,0,1,0,15,0,1,18,1,50,4,YES
