CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Alter
5,0,1,0,17,0,0,27,3,100,1,NO
2,0,1,0,1,0,1,11,2,100,2,NO
0,0,1,0,54,21,33,1292,1,0,306,YES
12,0,39,5,39,1,37,328,2,93,57,YES
38,0,64,13,74,40,34,1791,1,90,378,YES
0,0,7,13,7,0,3,158,2,63,24,NO
1,0,0,0,10,8,2,122,1,40,19,NO
5,0,4,0,4,0,4,32,2,0,6,NO
0,0,0,0,4,3,1,36,1,0,4,NO
6,0,9,2,14,8,6,408,1,67,61,YES
1,37,6,6,6,2,2,92,1,63,19,NO
8,0,7,3,8,2,6,136,1,62,31,YES
0,0,1,0,1,0,1,9,1,0,2,YES
1,0,2,0,2,0,2,7,1,0,2,NO
1,0,14,2,14,0,14,57,2,64,17,YES
26,0,29,0,29,0,29,249,1,89,49,YES
10,0,6,0,6,0,6,30,1,0,9,NO
1,0,9,0,9,0,9,30,2,0,9,NO
1,0,5,0,5,0,5,18,1,19,5,NO
11,0,6,0,6,0,6,69,1,0,14,YES
1,0,1,0,1,0,1,4,2,0,1,NO
1,0,4,0,4,0,4,15,1,0,5,NO
2,0,41,13,76,2,39,159,3,93,45,YES
0,0,11,5,11,0,11,39,1,81,11,YES
12,0,22,7,22,1,21,227,1,83,50,NO
10,0,8,4,10,1,9,98,1,78,24,NO
4,0,6,0,58,0,6,72,2,0,16,NO
2,0,5,1,11,0,5,55,2,0,5,NO
14,0,11,0,63,0,10,163,2,0,29,YES
7,0,10,1,16,0,10,135,2,0,10,NO
1,2,22,10,35,0,22,88,2,90,25,NO
2,0,17,6,30,1,16,68,2,90,17,NO
0,0,16,5,16,0,15,74,1,81,17,NO
1,0,14,6,49,0,14,75,3,85,15,NO
0,0,18,8,31,0,18,64,2,86,21,NO
3,0,2,0,54,0,2,27,2,0,8,NO
1,0,2,1,8,0,2,18,2,0,2,NO
3,3,13,1,13,1,10,72,1,87,18,YES
26,0,24,6,24,5,18,295,1,87,74,YES
4,0,1,0,14,0,1,18,2,50,4,NO
2,0,8,0,8,0,8,32,1,100,8,NO
2,0,8,0,8,0,8,35,1,100,9,NO
6,0,1,0,14,0,1,27,2,100,3,NO
3,0,1,0,14,0,1,74,2,0,16,NO
5,0,2,0,18,0,0,30,3,50,6,NO
0,0,0,0,4,3,1,56,1,0,5,YES
0,0,14,6,27,0,14,64,2,78,14,NO
23,0,5,0,6,4,1,223,2,33,54,NO
3,0,3,0,55,0,2,26,2,0,6,NO
3,0,2,1,8,0,2,16,2,0,2,NO
1,0,3,0,19,1,2,55,2,66,10,NO
7,2,119,51,147,0,119,539,3,98,143,YES
7,0,17,7,30,0,17,68,2,87,18,NO
2,0,6,0,58,0,6,69,2,0,14,NO
4,0,6,1,12,0,6,65,2,0,6,NO
36,0,64,10,116,2,62,1084,2,95,240,YES
21,0,40,4,46,0,40,503,2,68,40,NO
6,0,11,0,63,1,10,121,2,0,29,NO
8,0,11,1,17,0,11,160,2,0,14,NO
3,0,7,0,59,1,6,81,2,0,20,NO
7,0,6,2,12,0,6,90,2,33,6,NO
12,0,7,0,59,1,6,89,2,0,20,NO
3,0,3,1,9,0,3,21,2,0,3,NO
9,0,6,0,58,0,6,84,2,0,17,YES
4,0,5,1,11,0,5,54,2,0,5,NO
10,0,10,2,62,1,9,151,2,75,36,YES
8,0,5,2,11,0,5,57,2,30,5,NO
4,0,6,3,42,0,4,69,2,66,12,YES
0,1,4,1,151,0,4,25,4,50,7,YES
0,17,0,0,5,0,5,226,1,80,24,NO
0,0,1,0,64,0,1,29,3,0,1,NO
1,0,7,3,20,0,7,25,2,71,7,NO
2,0,2,1,2,0,2,47,1,25,8,YES
39,0,42,11,42,5,37,878,1,83,174,YES
18,0,16,6,22,0,16,297,2,45,17,YES
0,0,30,14,43,0,30,121,2,93,30,NO
0,0,4,1,4,0,4,17,2,25,4,NO
0,0,13,6,26,0,13,45,2,84,13,NO
1,0,10,2,10,0,10,49,1,35,13,NO
0,0,10,3,10,0,10,35,1,70,10,NO
1,0,6,1,42,0,5,42,2,66,9,NO
0,3,0,0,0,0,0,3,1,0,0,NO
4,1,1,0,1,0,1,33,2,100,6,NO
2,0,1,0,1,0,1,37,2,100,6,NO
3,0,1,0,2,0,1,15,3,100,2,NO
14,0,10,2,10,4,5,125,1,73,25,NO
3,0,3,0,3,2,1,75,2,100,16,NO
6,0,25,10,174,1,26,188,4,92,42,YES
4,0,75,28,103,0,75,373,3,96,100,YES
1,0,49,21,49,0,49,234,1,93,90,YES
0,0,1,0,64,0,1,26,3,0,1,NO
30,0,76,3,128,4,71,1635,2,92,379,YES
22,0,51,6,57,0,51,794,2,77,54,NO
6,0,9,0,61,1,8,110,2,0,25,NO
8,0,11,1,17,0,11,161,2,0,14,NO
2,0,6,3,42,0,5,56,2,72,10,YES
0,0,34,14,62,0,34,130,3,92,35,NO
5,0,6,0,58,0,6,72,2,0,18,NO
7,0,7,1,13,0,7,59,2,0,7,NO
9,3,50,24,63,0,50,197,2,96,55,YES
0,0,0,0,5,0,5,43,2,0,10,NO
1,0,16,5,16,0,15,133,1,81,36,NO
5,0,7,1,8,1,7,73,1,75,18,NO
1,0,1,0,1,0,1,8,1,0,1,NO
