Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,net.sf.mpxj.common.DateHelper,4,0,1,1,22,1,21,312,1,95,50,YES
Public Class,net.sf.mpxj.common.FieldTypeHelper,16,0,0,0,6,1,5,236,1,0,34,YES
Public Class,net.sf.mpxj.common.InputStreamHelper,1,0,0,0,3,1,2,77,1,0,13,YES
Public Class,net.sf.mpxj.common.MPPAssignmentField,1,0,0,0,2,0,2,532,1,0,4,YES
Public Class,net.sf.mpxj.common.MPPAssignmentField14,1,0,0,0,2,0,2,531,1,0,4,YES
Public Class,net.sf.mpxj.common.MPPResourceField,1,0,0,0,2,0,2,575,1,0,4,YES
Public Class,net.sf.mpxj.common.MPPResourceField14,1,0,0,0,2,0,2,576,1,0,4,YES
Public Class,net.sf.mpxj.common.MPPTaskField,1,0,0,0,2,0,2,919,1,0,4,YES
Public Class,net.sf.mpxj.common.MPPTaskField14,1,0,0,0,3,0,3,988,1,0,7,YES
Public Class,net.sf.mpxj.common.ProjectFieldLists,1,0,0,0,0,0,0,16,1,0,0,YES
Public Class,net.sf.mpxj.common.TaskFieldLists,1,0,0,0,0,0,0,511,1,0,0,YES
Class,net.sf.mpxj.conceptdraw.NamespaceFilter,0,0,2,0,2,0,2,13,2,0,4,YES
Public Class,net.sf.mpxj.CostRateTable,2,0,2,0,2,0,2,31,2,0,6,YES
Public Class,net.sf.mpxj.CostRateTableEntry,4,0,10,6,10,1,9,60,1,61,10,YES
Public Class,net.sf.mpxj.explorer.ObjectPropertiesController,2,0,8,1,8,6,2,132,1,75,25,YES
Public Class,net.sf.mpxj.junit.CostRateTableTest,10,0,10,1,10,3,7,116,1,80,10,YES
Public Class,net.sf.mpxj.junit.CustomerDataTest,19,0,24,7,24,12,12,355,1,90,60,YES
Public Class,net.sf.mpxj.junit.MppEmbeddedTest,6,0,7,0,7,1,6,128,1,0,7,YES
Public Class,net.sf.mpxj.junit.MppResourceTest,18,0,14,0,14,5,9,312,1,0,16,YES
Public Class,net.sf.mpxj.LocaleData,5,0,1,0,2,0,2,2162,2,0,2,YES
Abstract Class,net.sf.mpxj.mpd.MPD9AbstractReader,39,1,29,9,29,3,4,581,1,86,76,YES
Public Class,net.sf.mpxj.mpd.MPDDatabaseReader,5,0,10,4,18,2,8,89,3,70,13,YES
Class,net.sf.mpxj.mpp.AvailabilityFactory,5,0,1,0,1,0,1,30,1,0,4,YES
Class,net.sf.mpxj.mpp.CostRateTableFactory,7,0,2,0,2,1,1,51,1,0,6,YES
Class,net.sf.mpxj.mpp.CustomFieldAliasReader,4,0,2,2,2,0,2,35,1,0,5,YES
Abstract Class,net.sf.mpxj.mpp.FieldMap,15,3,28,7,28,3,16,859,1,85,84,YES
Class,net.sf.mpxj.mpp.FixedData,3,0,12,2,17,0,6,189,2,50,33,YES
Class,net.sf.mpxj.mpp.MPP12Reader,58,0,33,19,33,32,1,1199,1,82,149,YES
Class,net.sf.mpxj.mpp.MPP14Reader,62,0,34,20,34,33,1,1363,1,83,163,YES
Class,net.sf.mpxj.mpp.MPP8Reader,44,0,18,7,18,17,1,1153,1,64,87,YES
Class,net.sf.mpxj.mpp.MPP9Reader,63,0,33,14,33,30,3,1605,1,78,183,YES
Public Class,net.sf.mpxj.mpp.MPPReader,12,0,16,6,25,1,15,190,3,88,30,YES
Public Class,net.sf.mpxj.mpp.ProjectPropertiesReader,11,0,1,0,1,0,1,96,1,0,6,YES
Class,net.sf.mpxj.mpp.Props,2,5,12,1,17,0,12,182,2,0,22,YES
Public Class,net.sf.mpxj.mpp.ResourceAssignmentFactory,32,0,3,0,3,2,1,311,1,0,33,YES
Public Class,net.sf.mpxj.mpp.RTFEmbeddedObject,2,0,8,3,13,7,6,211,1,74,36,YES
Class,net.sf.mpxj.mpp.TableFactory,8,0,3,3,3,1,2,99,1,33,14,YES
Class,net.sf.mpxj.mpp.TableFactory14,8,0,3,3,3,1,2,98,1,33,14,YES
Class,net.sf.mpxj.mpp.TimephasedDataFactory,16,0,6,0,6,1,5,296,1,0,39,YES
Class,net.sf.mpxj.mpp.VarMeta12,0,0,1,0,17,0,0,35,3,0,5,YES
Class,net.sf.mpxj.mpp.VarMeta9,1,0,1,0,17,0,0,35,3,0,4,YES
Public Class,net.sf.mpxj.mpx.MPXWriter,42,0,43,10,45,37,6,956,2,80,154,YES
Public Class,net.sf.mpxj.mspdi.MSPDIReader,107,0,48,6,57,43,6,1294,3,90,181,YES
Public Class,net.sf.mpxj.mspdi.MSPDIWriter,99,0,49,8,51,39,9,1540,2,87,196,YES
Public Class,net.sf.mpxj.mspdi.schema.Adapter1,1,0,2,0,2,0,2,11,2,0,2,YES
Public Class,net.sf.mpxj.mspdi.schema.Adapter18,1,0,2,0,2,0,2,11,2,0,2,YES
Public Class,net.sf.mpxj.mspdi.schema.Adapter19,1,0,2,0,2,0,2,11,2,0,2,YES
Public Class,net.sf.mpxj.mspdi.schema.Adapter20,2,0,2,0,2,0,2,11,2,0,2,YES
Public Class,net.sf.mpxj.mspdi.schema.Adapter21,2,0,2,0,2,0,2,11,2,0,2,YES
Public Class,net.sf.mpxj.mspdi.schema.Adapter22,1,0,2,0,2,0,2,11,2,0,2,YES
Public Class,net.sf.mpxj.mspdi.schema.Adapter4,1,0,2,0,2,0,2,11,2,0,2,YES
Public Class,net.sf.mpxj.mspdi.schema.TimephasedDataType,1,0,12,6,12,0,12,57,1,83,12,YES
Public Class,net.sf.mpxj.phoenix.DatatypeConverter,6,0,0,0,18,0,18,183,1,94,28,YES
Public Class,net.sf.mpxj.planner.schema.Allocation,0,0,6,3,6,0,6,30,1,66,6,YES
Public Class,net.sf.mpxj.planner.schema.Calendar,3,0,11,6,11,0,11,57,1,83,12,YES
Public Class,net.sf.mpxj.planner.schema.Constraint,0,0,4,2,4,0,4,21,1,50,4,YES
Public Class,net.sf.mpxj.planner.schema.Day,0,0,7,4,7,0,7,39,1,75,8,YES
Public Class,net.sf.mpxj.planner.schema.DayType,0,0,7,4,7,0,7,39,1,75,8,YES
Public Class,net.sf.mpxj.planner.schema.DefaultWeek,0,0,14,7,14,0,14,66,1,85,14,YES
Public Class,net.sf.mpxj.planner.schema.Group,0,0,10,5,10,0,10,48,1,80,10,YES
Public Class,net.sf.mpxj.planner.schema.Interval,0,0,4,2,4,0,4,21,1,50,4,YES
Public Class,net.sf.mpxj.planner.schema.ListItem,0,0,2,1,2,0,2,12,1,0,2,YES
Public Class,net.sf.mpxj.planner.schema.ObjectFactory,27,0,28,0,28,0,28,114,1,0,28,YES
Public Class,net.sf.mpxj.planner.schema.OverriddenDayType,0,0,3,2,3,0,3,21,1,50,4,YES
Public Class,net.sf.mpxj.planner.schema.Phase,0,0,2,1,2,0,2,12,1,0,2,YES
Public Class,net.sf.mpxj.planner.schema.Predecessor,0,0,8,4,8,0,8,46,1,75,9,YES
Public Class,net.sf.mpxj.planner.schema.Project,6,0,27,14,27,0,27,129,1,92,28,YES
Public Class,net.sf.mpxj.planner.schema.Property,0,0,13,7,13,0,13,66,1,85,14,YES
Public Class,net.sf.mpxj.planner.schema.Resource,1,0,24,12,24,0,24,111,1,91,24,YES
Public Class,net.sf.mpxj.planner.schema.ResourceGroups,0,0,3,2,3,0,3,21,1,50,4,YES
Public Class,net.sf.mpxj.planner.schema.Task,3,0,33,17,33,0,33,170,1,94,36,YES
Public Class,net.sf.mpxj.primavera.PrimaveraDatabaseReader,12,0,46,19,50,20,26,389,2,90,64,YES
Public Class,net.sf.mpxj.primavera.PrimaveraPMFileReader,75,0,40,12,48,31,9,1066,3,91,151,YES
Public Class,net.sf.mpxj.primavera.PrimaveraPMFileWriter,55,0,41,9,43,35,5,876,2,86,122,YES
