CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
0,1,8,3,8,0,8,31,1,62,8,YES
1,0,1,0,2,1,1,16,1,0,5,YES
9,0,0,0,1,0,1,34,1,0,10,YES
15,0,0,0,2,0,2,85,1,0,15,YES
5,0,0,0,1,0,1,26,1,0,3,YES
3,0,0,0,1,0,1,41,1,0,1,YES
10,0,0,0,1,0,1,47,1,0,6,YES
7,0,0,0,1,0,1,55,1,0,7,YES
5,0,0,0,2,0,2,31,1,0,8,YES
17,0,0,0,1,0,1,322,1,0,87,YES
12,0,0,0,2,0,2,107,1,0,23,YES
1,0,0,0,10,0,10,155,1,0,10,YES
8,0,0,0,5,0,5,77,1,0,14,YES
32,0,0,0,31,0,31,542,1,0,67,YES
31,0,0,0,26,1,25,482,1,0,63,YES
29,0,0,0,19,1,18,290,1,0,32,YES
17,0,0,0,12,0,12,149,1,0,25,YES
8,0,0,0,10,0,10,166,1,0,13,YES
10,0,0,0,7,0,7,75,1,0,8,YES
24,0,0,0,20,0,20,313,1,95,41,YES
15,0,0,0,15,0,15,283,1,0,30,YES
1,0,0,0,12,0,12,263,1,0,12,YES
15,0,0,0,11,0,11,244,1,0,28,YES
13,0,0,0,10,0,10,173,1,0,21,YES
14,0,0,0,8,0,8,100,1,0,15,YES
14,0,0,0,7,0,7,96,1,0,11,YES
20,0,0,0,45,3,42,832,1,0,55,YES
12,0,0,0,135,2,133,3947,1,0,145,YES
3,0,0,0,42,6,36,608,1,0,55,YES
5,0,0,0,73,2,71,1943,1,0,73,YES
16,0,0,0,41,2,39,930,1,97,62,YES
28,0,0,0,36,2,34,794,1,0,95,YES
6,0,0,0,5,0,5,56,1,0,8,YES
19,0,0,0,51,2,49,967,1,98,185,YES
34,0,0,0,52,9,43,875,1,0,130,YES
18,0,0,0,41,3,38,916,1,0,142,YES
28,0,0,0,83,6,77,3649,1,0,141,YES
30,0,0,0,50,4,46,1475,1,0,136,YES
3,0,0,0,1,0,1,16,1,0,2,YES
6,0,0,0,34,3,31,368,1,0,34,YES
32,0,0,0,111,6,105,1983,1,0,186,YES
10,0,0,0,27,2,25,280,1,0,35,YES
7,0,0,0,39,2,37,674,1,0,40,YES
16,0,0,0,27,2,25,303,1,0,39,YES
22,0,0,0,34,2,32,494,1,0,76,YES
24,0,0,0,38,2,36,636,1,0,106,YES
3,0,0,0,35,2,33,628,1,0,35,YES
4,0,0,0,33,2,31,456,1,100,33,YES
14,0,0,0,29,2,27,316,1,0,40,YES
34,0,0,0,43,2,41,615,1,0,60,YES
41,0,0,0,77,7,69,2270,1,0,327,YES
16,0,0,0,48,3,45,550,1,0,73,YES
17,0,0,0,32,2,30,528,1,0,85,YES
35,0,0,0,87,3,84,1766,1,98,303,YES
37,0,0,0,62,2,60,1314,1,0,190,YES
30,0,0,0,76,4,72,1244,1,0,128,YES
9,0,0,0,27,2,25,398,1,0,28,YES
8,0,0,0,12,0,12,206,1,0,12,YES
8,0,0,0,3,0,3,55,1,66,4,YES
19,0,0,0,3,0,3,75,1,0,8,YES
10,0,0,0,10,0,10,592,1,0,13,YES
9,0,0,0,2,0,2,28,1,0,3,YES
12,0,0,0,13,0,13,326,1,0,39,YES
8,0,0,0,8,0,8,137,1,0,21,YES
4,0,0,0,6,0,6,104,1,0,16,YES
11,0,0,0,7,0,7,191,1,0,27,YES
27,0,0,0,24,3,21,553,1,0,100,YES
7,0,0,0,54,2,52,1336,1,0,56,YES
15,0,0,0,32,10,22,507,1,96,89,YES
15,0,0,0,21,4,17,529,1,95,116,YES
2,0,0,0,3,0,3,85,1,0,15,YES
1,0,0,0,5,0,5,86,1,0,5,YES
0,0,0,0,0,0,0,2,1,0,0,YES
0,0,0,0,0,0,0,2,1,0,0,YES
0,0,3,4,35,0,3,23,3,75,5,YES
2,0,4,4,36,0,4,22,3,81,5,YES
0,0,3,1,35,0,3,12,3,33,3,YES
4,0,4,8,36,0,4,27,3,90,5,YES
2,0,5,5,37,0,5,39,3,76,9,YES
1,0,5,8,37,0,5,83,3,60,5,YES
2,0,1,0,28,0,1,39,2,0,9,YES
3,0,4,4,36,0,4,27,3,75,6,YES
0,0,4,3,36,0,4,26,3,66,6,YES
5,0,12,5,44,0,12,149,3,78,22,YES
5,0,9,23,41,0,9,154,3,79,29,YES
1,0,2,3,34,0,2,11,3,83,2,YES
1,0,0,7,32,0,0,9,3,0,0,YES
1,0,0,3,10,0,0,5,2,0,0,YES
1,0,0,5,32,0,0,7,3,0,0,YES
3,0,8,4,40,0,8,166,3,84,11,YES
9,0,7,46,39,0,7,190,3,89,39,YES
7,0,7,3,39,0,7,64,3,66,17,YES
6,0,12,12,44,0,12,180,3,89,26,YES
14,0,6,40,38,0,6,200,3,86,37,YES
3,0,4,1,17,0,4,17,2,0,4,YES
6,0,9,3,41,0,9,76,3,74,20,YES
3,0,8,7,40,0,8,82,3,82,20,YES
3,0,7,7,39,0,7,65,3,85,15,YES
2,0,9,5,41,0,9,104,3,55,14,YES
2,0,1,0,28,0,1,27,2,0,6,YES
0,0,2,3,34,0,2,11,3,83,2,YES
1,0,1,2,33,0,1,10,3,0,2,YES
1,0,1,3,33,0,1,12,3,0,1,YES
0,0,3,6,35,0,3,30,3,77,6,YES
1,0,7,4,39,0,7,50,3,64,10,YES
2,0,9,7,41,0,9,141,3,79,15,YES
1,0,9,2,42,0,10,63,3,50,15,YES
3,0,7,2,39,0,7,45,3,64,11,YES
2,0,5,2,37,0,5,29,3,50,6,YES
1,0,4,5,36,0,4,24,3,90,6,YES
4,0,5,10,37,0,5,70,3,80,15,YES
1,0,4,9,36,0,4,44,3,80,9,YES
1,0,3,9,35,0,3,24,3,96,4,YES
1,0,4,3,36,0,4,29,3,75,7,YES
7,1,7,3,39,0,7,78,3,76,19,YES
0,0,0,0,32,0,0,2,3,0,0,YES
0,0,0,0,32,0,0,2,3,0,0,YES
1,0,1,2,33,0,1,10,3,0,1,YES
1,0,12,2,44,0,12,58,3,50,15,YES
1,0,4,4,36,0,4,30,3,75,7,YES
2,0,3,4,35,0,3,20,3,83,4,YES
1,0,3,5,35,0,3,29,3,73,6,YES
1,0,1,2,33,0,1,16,3,0,3,YES
0,0,1,1,33,0,1,11,3,0,2,YES
3,0,2,4,34,0,2,30,3,50,6,YES
0,0,2,1,34,0,2,9,3,50,2,YES
3,0,4,6,36,0,4,42,3,75,9,YES
3,0,4,4,36,0,4,32,3,81,7,YES
1,0,2,2,34,0,2,10,3,75,2,YES
5,0,3,5,35,0,3,33,3,66,7,YES
1,0,3,3,35,0,3,19,3,77,4,YES
1,0,4,12,36,0,4,47,3,89,9,YES
1,0,1,2,33,0,1,6,3,100,1,YES
1,0,7,2,39,0,7,27,3,64,8,YES
1,0,3,4,35,0,3,54,3,75,5,YES
3,0,4,1,17,0,4,17,2,0,4,YES
2,0,3,5,35,0,3,33,3,66,7,YES
3,0,7,4,39,0,7,110,3,82,11,YES
0,0,4,8,36,0,4,52,3,75,11,YES
1,0,2,6,34,0,2,31,3,91,2,YES
3,0,4,1,17,0,4,17,2,0,4,YES
3,0,3,6,35,0,3,21,3,88,4,YES
2,0,5,6,37,0,5,45,3,83,9,YES
1,0,3,3,35,0,3,80,3,66,5,YES
0,0,5,3,37,0,5,35,3,53,7,YES
1,0,12,2,46,0,14,170,3,42,22,YES
1,0,5,2,37,0,5,39,3,80,9,YES
1,0,4,8,36,0,4,47,3,81,10,YES
3,0,9,10,41,0,9,97,3,52,12,YES
1,0,5,2,37,0,5,43,3,50,6,YES
3,0,3,1,16,0,3,13,2,0,3,YES
3,0,7,13,39,0,7,167,3,73,18,YES
0,0,4,1,36,0,4,19,3,75,4,YES
2,0,4,2,43,0,4,28,4,62,6,YES
2,0,4,13,36,0,4,56,3,84,11,YES
3,0,3,4,35,0,3,27,3,75,6,YES
1,0,3,6,35,0,3,41,3,66,9,YES
1,0,3,6,35,0,3,31,3,72,7,YES
1,0,3,4,35,0,3,23,3,83,5,YES
1,0,3,3,35,0,3,19,3,77,4,YES
3,0,5,5,37,0,5,83,3,84,8,YES
3,0,4,1,17,0,4,17,2,0,4,YES
3,0,4,1,17,0,4,17,2,0,4,YES
2,0,3,5,35,0,3,25,3,80,5,YES
1,0,4,2,36,0,4,25,3,75,6,YES
4,0,7,15,39,0,7,86,3,88,18,YES
2,0,4,4,36,0,4,93,3,81,6,YES
1,0,4,3,36,0,4,76,3,83,5,YES
1,0,3,3,35,0,3,52,3,77,4,YES
2,0,6,5,38,0,6,114,3,83,10,YES
5,0,4,8,36,0,4,44,3,81,9,YES
0,0,5,1,12,1,2,21,2,19,5,YES
15,0,3,1,21,0,2,32,3,33,3,YES
49,0,47,3,109,9,37,390,4,77,86,YES
49,0,3,1,21,0,2,64,3,33,3,YES
20,0,23,8,23,0,23,106,1,84,31,YES
19,0,2,0,19,1,3,58,2,0,8,YES
10,0,2,0,16,0,1,16,2,0,3,YES
16,0,3,0,15,1,2,29,2,0,5,YES
13,0,2,0,16,0,1,30,2,0,5,YES
10,0,2,0,16,0,1,26,2,0,4,YES
9,0,2,0,16,0,1,20,2,0,3,YES
14,0,2,0,16,0,1,39,2,0,4,YES
8,0,2,0,16,0,1,19,2,0,3,YES
28,0,6,0,21,4,2,93,2,0,19,YES
14,0,2,0,16,0,1,64,2,0,4,YES
15,0,16,3,21,6,11,134,2,64,30,YES
4,0,0,0,4,0,4,55,1,0,5,YES
12,0,0,0,1,0,1,14,1,0,1,YES
27,9,27,2,27,0,22,134,1,61,36,YES
6,0,9,2,25,1,7,40,3,33,10,YES
6,0,9,3,25,1,7,39,3,51,9,YES
19,0,8,5,10,1,7,48,2,57,11,YES
16,0,26,9,27,4,22,217,1,75,56,YES
50,0,28,11,30,14,13,284,2,91,55,YES
20,3,16,5,16,1,4,80,1,90,18,YES
42,0,12,16,14,9,5,205,1,72,32,YES
14,0,2,2,49,0,3,383,6,33,15,YES
10,0,3,2,44,0,3,182,6,83,5,YES
7,0,2,1,43,0,2,69,6,50,2,YES
8,0,5,4,10,1,4,40,2,40,6,YES
24,0,3,1,30,1,2,53,2,33,9,YES
26,0,3,0,30,1,2,77,2,0,8,YES
24,0,2,0,29,0,2,65,2,0,8,YES
6,0,7,1,24,0,7,59,3,25,15,YES
34,0,16,11,32,6,9,137,3,82,26,YES
29,0,12,4,29,6,5,129,3,63,18,YES
22,0,15,5,32,8,7,412,3,56,34,YES
29,0,14,6,33,9,6,512,3,72,48,YES
29,0,15,7,32,8,6,365,3,66,38,YES
28,0,11,3,27,1,9,70,3,66,15,YES
31,0,15,5,32,8,7,442,3,57,32,YES
29,0,13,4,30,6,7,455,3,57,31,YES
36,0,13,5,30,4,9,145,3,62,27,YES
34,0,11,4,27,4,6,124,3,61,21,YES
23,0,11,3,27,6,1,230,2,78,23,YES
21,0,3,0,19,0,1,146,2,0,7,YES
20,0,6,0,22,2,2,220,2,0,25,YES
36,0,21,3,21,0,21,110,1,79,26,YES
10,0,8,6,24,0,7,49,3,64,11,YES
38,0,9,16,31,1,13,169,3,83,28,YES
16,0,7,3,23,0,6,55,3,61,10,YES
13,0,7,3,23,0,6,43,3,61,10,YES
15,0,7,3,23,0,6,47,3,61,10,YES
16,0,16,8,32,1,14,98,3,64,21,YES
16,0,17,9,33,2,14,114,3,64,21,YES
16,0,13,9,29,2,10,98,3,57,18,YES
10,0,7,6,23,0,6,41,3,69,8,YES
15,0,38,2,38,17,19,392,1,57,92,YES
15,0,16,10,20,0,16,148,2,70,37,YES
12,0,14,17,14,1,13,103,1,82,22,YES
9,0,6,6,14,0,6,47,3,66,10,YES
8,0,13,8,17,0,13,74,2,77,19,YES
14,0,17,17,21,0,17,112,2,85,26,YES
2,0,8,2,9,1,8,39,1,44,11,YES
2,0,9,1,9,0,9,36,1,0,10,YES
2,0,9,2,9,0,9,67,1,16,17,YES
2,0,22,20,22,0,11,278,1,83,53,YES
24,0,11,3,11,6,5,132,1,54,22,YES
0,0,8,4,8,4,4,63,2,78,15,YES
11,0,32,6,32,8,24,282,2,86,78,YES
2,0,3,1,3,0,3,22,1,0,6,YES
2,0,4,2,4,0,3,29,1,25,7,YES
0,0,6,2,7,1,6,38,1,28,10,YES
12,0,8,6,8,1,7,89,1,72,21,YES
26,0,11,5,73,4,6,123,4,80,22,YES
11,0,3,0,21,0,2,21,3,0,3,YES
