Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,io.seata.common.thread.NamedThreadFactory,1,0,4,4,4,0,4,33,1,56,7,YES
Public Class,io.seata.common.thread.NamedThreadFactoryTest,1,0,3,0,3,0,3,34,1,0,8,YES
Public Class,io.seata.core.context.RootContext,5,0,1,0,16,1,15,103,1,59,30,YES
Public Class,io.seata.core.protocol.Version,2,0,1,0,7,3,4,50,1,0,12,YES
Public Class,io.seata.core.rpc.netty.RmNettyRemotingClient,22,0,14,4,52,2,12,174,3,82,35,YES
Public Class,io.seata.core.rpc.netty.TmNettyRemotingClient,20,0,13,6,52,3,10,139,3,87,24,YES
Public Class,io.seata.discovery.loadbalance.ConsistentHashLoadBalance,5,0,1,0,3,0,0,49,2,0,1,YES
Public Class,io.seata.discovery.loadbalance.LeastActiveLoadBalance,1,0,1,0,3,0,0,23,2,0,5,YES
Public Class,io.seata.discovery.loadbalance.LoadBalanceTest,6,0,5,0,6,0,5,87,1,0,17,YES
Public Class,io.seata.discovery.loadbalance.RandomLoadBalance,0,0,1,0,3,0,0,7,2,0,1,YES
Public Class,io.seata.discovery.loadbalance.RoundRobinLoadBalance,0,0,2,1,4,1,0,17,2,50,5,YES
Public Class,io.seata.discovery.registry.zk.ZookeeperRegisterServiceImpl,6,0,18,0,19,10,6,217,1,94,50,YES
Public Class,io.seata.integration.http.MockResponse,0,0,2,1,2,0,2,21,1,0,3,YES
Public Class,io.seata.integration.http.MockWebServer,12,0,5,1,6,2,4,90,1,66,20,YES
Public Class,io.seata.saga.engine.config.DbStateMachineConfig,10,0,20,9,65,0,21,125,2,84,28,YES
Public Class,io.seata.saga.engine.db.StateMachineDBTests,13,0,31,2,34,6,26,599,2,70,48,YES
Public Class,io.seata.saga.engine.impl.DefaultStateMachineConfig,37,1,44,20,44,0,40,305,1,93,67,YES
Public Class,io.seata.saga.engine.impl.ProcessCtrlStateMachineEngine,27,0,23,1,24,6,15,490,1,58,104,YES
Public Class,io.seata.saga.engine.mock.MockGlobalTransaction,4,0,14,2,14,0,14,55,1,78,14,YES
Public Class,io.seata.saga.engine.pcext.handlers.ChoiceStateHandler,10,0,2,0,2,0,2,40,1,0,8,YES
Public Class,io.seata.saga.engine.pcext.handlers.CompensationTriggerStateHandler,11,0,1,0,1,0,1,35,1,0,6,YES
Public Class,io.seata.saga.engine.pcext.handlers.SubStateMachineHandler,17,0,7,1,8,4,4,137,1,62,27,YES
Public Class,io.seata.saga.engine.repo.impl.StateMachineRepositoryImpl,11,0,11,6,11,0,11,156,1,74,32,YES
Public Class,io.seata.saga.engine.sequence.SpringJvmUUIDSeqGenerator,0,0,3,1,3,0,3,19,1,66,4,YES
Public Class,io.seata.saga.engine.store.db.DbAndReportTcStateLogStore,33,0,32,6,40,8,19,660,2,80,124,YES
Public Class,io.seata.saga.engine.strategy.impl.DefaultStatusDecisionStrategy,13,0,3,0,6,0,6,147,1,0,39,YES
Public Class,io.seata.saga.statelang.parser.impl.StateMachineParserImpl,13,0,3,1,3,0,3,67,1,0,16,YES
Public Class,io.seata.saga.statelang.parser.StateMachineParserFactory,2,0,0,0,1,0,1,4,1,0,1,YES
Public Class,io.seata.saga.statelang.parser.StateParserTests,7,0,2,0,2,0,2,32,1,0,2,YES
Public Class,io.seata.server.coordinator.DefaultCoordinatorMetricsTest,13,0,1,0,1,0,1,80,1,0,4,YES
Public Class,io.seata.server.coordinator.DefaultCore,17,0,16,1,16,0,16,265,1,81,56,YES
Public Class,io.seata.spring.boot.autoconfigure.HttpAutoConfiguration,2,0,2,0,2,0,2,10,2,0,2,YES
Public Class,io.seata.spring.boot.autoconfigure.provider.SpringBootConfigurationProvider,4,0,8,0,8,7,1,92,1,0,19,YES
Public Class,io.seata.spring.boot.autoconfigure.RedisAutoInjectionTypeConvertTest,5,0,2,0,4,0,3,24,1,50,4,YES
Public Class,io.seata.spring.boot.autoconfigure.SeataAutoConfiguration,7,0,3,0,3,0,3,37,1,0,4,YES
Public Abstract Class,io.seata.core.rpc.netty.AbstractNettyRemotingClient,29,2,17,8,36,3,12,317,2,85,35,YES
Public Abstract Class,io.seata.core.rpc.netty.AbstractNettyRemotingServer,9,1,12,1,31,1,11,160,2,58,20,YES
Class,io.seata.core.context.GlobalLockConfigHolderTest,2,0,3,0,3,0,0,18,1,0,3,YES
Class,io.seata.rm.datasource.exec.LockRetryControllerTest,8,0,5,3,5,0,0,64,1,66,9,YES
Class,io.seata.rm.GlobalLockTemplateTest,4,0,5,3,5,1,0,75,1,100,7,YES
Public Class,AppTest,8,0,0,0,1,0,1,65,1,0,4,NO
Public Class,io.seata.common.ApplicationKeeper,0,0,3,2,3,1,2,38,1,66,4,NO
Public Class,io.seata.common.BranchDO,0,0,7,5,7,0,7,32,1,71,7,NO
Public Class,io.seata.common.exception.DataAccessException,1,0,6,0,25,0,6,19,4,0,6,NO
Public Class,io.seata.common.exception.DataAccessExceptionTest,3,0,6,0,7,1,6,29,1,0,7,NO
Public Class,io.seata.common.exception.EurekaRegistryException,0,0,4,0,4,0,4,14,2,0,4,NO
Public Class,io.seata.common.exception.EurekaRegistryExceptionTest,2,0,4,0,5,1,4,20,1,0,5,NO
Public Class,io.seata.common.exception.FrameworkException,1,3,8,1,12,0,12,50,2,83,14,NO
Public Class,io.seata.common.exception.FrameworkExceptionTest,3,0,10,1,11,1,10,81,1,100,22,NO
Public Class,io.seata.common.exception.Message,2,0,10,0,10,0,10,33,1,0,10,NO
Public Class,io.seata.common.exception.NotSupportYetException,0,0,4,0,4,0,4,14,2,0,4,NO
Public Class,io.seata.common.exception.NotSupportYetExceptionTest,2,0,4,0,5,1,4,20,1,0,5,NO
Public Class,io.seata.common.exception.RedisException,1,0,7,0,19,0,7,22,3,0,7,NO
Public Class,io.seata.common.exception.ShouldNeverHappenException,0,0,4,0,4,0,4,14,2,0,4,NO
Public Class,io.seata.common.exception.ShouldNeverHappenExceptionTest,2,0,4,0,5,1,4,20,1,0,5,NO
Public Class,io.seata.common.exception.StoreException,1,1,7,0,19,0,7,22,3,0,7,NO
Public Class,io.seata.common.exception.StoreExceptionTest,3,0,7,0,8,1,7,37,1,0,8,NO
Public Class,io.seata.common.loader.ChineseHello,0,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.common.loader.EnglishHello,0,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.common.loader.EnhancedServiceLoader,2,0,0,0,11,1,8,324,1,0,11,NO
Public Class,io.seata.common.loader.EnhancedServiceLoaderTest,2,0,2,0,2,0,2,13,1,0,2,NO
Public Class,io.seata.common.loader.EnhancedServiceLoaderTest,7,0,10,0,10,0,10,68,1,0,13,NO
Public Class,io.seata.common.loader.EnhancedServiceNotFoundException,0,0,6,0,6,0,6,22,2,0,6,NO
Public Class,io.seata.common.loader.FrenchHello,0,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.common.loader.LatinHello,0,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.common.loader.LoaderTestImpl1,0,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.common.loader.LoaderTestImpl2,0,0,1,0,1,0,1,6,1,0,1,NO
Public Class,io.seata.common.rpc.RpcStatus,0,0,3,2,7,1,6,27,1,64,8,NO
Public Class,io.seata.common.rpc.RpcStatusTest,1,0,4,0,4,0,4,27,1,0,4,NO
Public Class,io.seata.common.thread.PositiveAtomicCounter,0,0,4,1,4,0,4,15,1,0,4,NO
Public Class,io.seata.common.thread.PositiveAtomicCounterTest,1,0,4,0,4,0,4,22,1,0,4,NO
