CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
0,0,3,2,3,1,2,37,1,83,4,YES
0,0,0,0,0,0,0,24,1,0,0,YES
3,0,10,1,11,1,10,81,1,100,22,YES
2,0,0,0,11,1,8,323,1,0,11,YES
7,0,10,0,10,0,10,68,1,0,13,YES
0,0,4,3,4,0,4,32,1,50,6,YES
1,0,2,0,2,0,2,23,1,0,5,YES
1,0,1,0,10,1,9,92,1,0,26,YES
1,0,7,0,7,0,7,96,1,0,7,YES
1,0,0,0,12,2,10,118,1,91,30,YES
0,0,0,0,1,0,1,12,1,0,3,YES
2,0,1,0,13,1,12,147,1,0,43,YES
0,0,0,0,2,0,2,33,1,0,7,YES
0,0,0,0,2,0,2,40,1,0,8,YES
1,8,22,0,22,0,22,93,1,0,21,YES
9,0,11,1,37,6,9,127,2,91,30,YES
9,0,0,4,2,1,1,83,1,90,11,YES
2,0,1,0,1,0,0,6,1,0,1,YES
0,0,0,0,0,0,0,7,1,0,0,YES
8,0,10,2,34,3,9,154,2,81,27,YES
1,0,9,1,31,0,9,43,2,77,10,YES
3,0,1,0,1,0,1,17,1,0,2,YES
10,0,10,2,34,3,9,189,2,81,33,YES
8,0,11,8,33,0,11,219,2,79,23,YES
3,0,3,1,3,0,0,20,1,66,4,YES
6,0,9,1,39,8,9,187,2,80,42,YES
3,0,9,0,32,1,9,54,2,90,14,YES
7,0,9,1,31,0,9,170,2,66,31,YES
5,0,0,0,1,0,1,26,1,0,2,YES
0,0,0,0,0,0,0,9,1,0,0,YES
0,0,0,0,0,0,0,84,1,0,0,YES
0,0,0,0,0,0,0,34,1,0,0,YES
2,0,1,0,2,1,1,10,1,0,2,YES
0,0,4,1,4,0,4,23,1,0,4,YES
5,0,1,0,14,1,13,84,1,21,25,YES
2,0,5,1,5,0,5,45,1,40,6,YES
0,0,4,1,4,0,4,24,1,0,4,YES
1,0,4,1,4,0,4,18,1,0,4,YES
4,0,0,0,4,1,3,37,1,0,10,YES
1,0,5,0,5,0,5,28,1,0,6,YES
1,2,10,4,13,0,10,39,2,67,10,YES
1,2,7,3,14,0,7,42,3,57,7,YES
0,0,4,1,4,1,3,19,1,0,5,YES
0,0,0,0,0,0,0,29,1,0,0,YES
4,0,0,0,0,0,0,15,1,0,0,YES
1,0,5,0,18,0,5,23,3,0,5,YES
2,0,1,0,4,1,3,15,1,0,4,YES
12,0,0,0,16,7,9,312,1,0,87,YES
1,0,0,0,3,0,3,31,1,0,7,YES
20,0,8,2,8,0,8,145,1,79,25,YES
7,2,0,2,1,1,0,111,1,100,1,YES
1,0,1,0,1,0,1,7,1,0,1,YES
10,0,12,5,12,4,0,162,1,66,37,YES
6,0,29,7,44,0,43,160,2,95,44,YES
11,0,8,2,8,2,6,94,1,75,24,YES
3,0,22,8,25,0,24,89,2,92,25,YES
13,0,13,4,48,1,12,148,3,84,34,YES
6,0,7,7,7,2,4,111,1,69,21,YES
6,0,9,0,42,0,9,64,3,0,14,YES
5,0,7,7,7,1,5,98,1,67,15,YES
3,0,5,2,7,1,6,71,2,78,10,YES
14,0,9,3,44,1,9,87,3,85,17,YES
2,0,5,0,6,1,3,59,1,0,15,YES
8,0,4,5,5,1,4,116,1,68,15,YES
8,0,4,0,4,0,3,66,2,0,11,YES
7,0,1,0,1,0,1,48,2,0,6,YES
4,0,24,10,24,0,24,137,1,85,37,YES
2,0,23,11,23,0,23,83,1,91,23,YES
6,2,10,0,11,1,0,106,1,0,27,YES
2,0,0,0,1,0,1,10,1,0,2,YES
1,3,15,0,15,0,15,88,1,0,9,YES
2,0,0,0,1,0,1,11,1,0,2,YES
1,2,6,0,21,0,6,45,2,0,6,YES
1,0,6,0,21,0,6,48,2,0,6,YES
1,0,6,0,21,0,6,45,2,0,6,YES
1,0,23,11,23,0,23,83,1,91,23,YES
1,2,2,0,2,0,1,13,1,0,3,YES
2,0,0,0,1,0,1,5,1,0,1,YES
4,0,4,0,5,0,4,57,1,0,5,YES
3,0,3,0,4,0,3,47,1,0,9,YES
0,0,1,1,3,0,0,8,2,0,1,YES
0,0,2,1,4,1,0,17,2,50,5,YES
6,0,15,4,16,9,6,172,1,85,28,YES
8,0,16,6,17,10,6,231,1,86,33,YES
7,0,16,0,17,10,6,179,1,80,39,YES
4,0,7,0,8,1,6,56,1,87,14,YES
4,0,8,0,19,11,7,172,1,94,43,YES
8,0,11,2,12,5,6,180,1,81,31,YES
4,0,11,0,19,12,6,209,1,84,42,YES
6,0,18,0,19,10,6,215,1,94,49,YES
2,0,2,0,2,1,1,58,1,0,12,YES
1,0,2,0,2,1,1,53,1,0,11,YES
1,0,1,0,1,0,1,23,1,0,1,YES
1,0,0,0,0,0,0,4,1,0,0,YES
1,2,10,0,13,2,5,87,1,0,19,YES
12,0,5,1,7,2,5,93,1,71,21,YES
2,0,2,0,2,0,2,23,2,0,5,YES
1,0,3,0,3,1,2,46,1,0,12,YES
0,0,0,0,0,0,0,23,1,0,0,YES
9,0,5,0,5,0,5,29,1,0,11,YES
16,4,5,0,5,0,5,53,1,0,11,YES
18,5,9,0,10,0,6,82,2,0,12,YES
11,1,55,2,55,0,55,256,1,50,59,YES
0,1,9,1,9,0,9,37,1,0,9,YES
2,2,57,1,111,1,55,285,3,94,58,YES
17,0,4,0,4,1,3,122,1,75,23,YES
6,0,0,0,8,2,6,86,1,0,21,YES
2,0,3,0,3,0,3,52,1,0,3,YES
17,2,19,1,74,7,12,189,2,21,42,YES
9,0,1,0,7,4,3,124,1,0,33,YES
31,1,13,2,18,1,12,109,2,80,23,YES
11,0,10,4,19,1,9,69,2,84,15,YES
14,0,3,3,3,0,3,58,1,0,3,YES
8,0,2,0,2,0,2,56,1,0,5,YES
11,0,20,4,20,10,10,436,1,51,21,YES
14,0,9,6,9,4,5,147,1,59,12,YES
3,0,179,4,179,0,179,772,1,98,179,YES
3,0,15,6,15,0,15,62,2,84,18,YES
4,0,15,4,15,0,15,91,2,75,21,YES
2,0,5,0,116,0,5,23,4,0,8,YES
11,0,6,0,7,0,7,230,1,69,8,YES
2,0,5,0,5,0,5,117,1,0,7,YES
3,0,5,0,5,0,5,61,1,0,7,YES
3,0,5,0,5,0,5,59,1,0,7,YES
3,0,7,0,7,0,7,93,1,0,11,YES
5,0,5,0,5,0,5,46,1,0,5,YES
6,0,5,0,5,0,5,59,1,0,7,YES
5,0,5,0,5,0,5,40,1,0,5,YES
7,0,7,0,7,0,7,84,1,0,11,YES
4,3,4,0,4,0,2,54,1,0,12,YES
8,0,3,1,7,1,0,108,2,66,15,YES
9,0,6,0,6,3,3,113,1,66,9,YES
6,0,3,0,7,1,0,109,2,0,19,YES
5,0,1,0,1,0,1,35,1,0,1,YES
9,0,3,1,7,1,0,120,2,66,21,YES
5,0,1,0,1,0,1,37,1,0,1,YES
0,0,41,18,41,0,39,243,1,87,61,YES
1,0,12,4,12,0,12,44,1,70,12,YES
3,0,6,1,6,0,6,35,1,16,11,YES
