Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,com.aelitis.azureus.activities.LocalActivityManager,4,0,0,0,1,0,1,79,1,0,2,NO
Public Class,com.aelitis.azureus.activities.VuzeActivitiesConstants,0,0,0,0,0,0,0,6,1,0,0,NO
Public Class,com.aelitis.azureus.activities.VuzeActivitiesEntry,24,0,52,21,52,0,51,473,1,90,111,NO
Public Class,com.aelitis.azureus.activities.VuzeActivitiesManager,20,0,0,0,25,5,20,428,1,87,84,NO
Public Class,com.aelitis.azureus.core.AzureusCoreException,0,0,2,0,2,0,2,17,2,0,2,NO
Public Class,com.aelitis.azureus.core.AzureusCoreFactory,4,0,0,0,5,0,5,28,1,0,5,NO
Public Class,com.aelitis.azureus.core.AzureusCoreLifecycleAdapter,3,20,8,0,8,0,8,48,1,0,8,NO
Public Class,com.aelitis.azureus.core.backup.BackupManagerFactory,3,0,0,0,1,0,1,9,1,0,1,NO
Public Class,com.aelitis.azureus.core.backup.impl.BackupManagerImpl,22,0,17,6,18,12,6,795,1,92,101,NO
Public Class,com.aelitis.azureus.core.clientmessageservice.ClientMessageServiceClient,2,0,0,0,2,0,2,8,1,0,2,NO
Public Class,com.aelitis.azureus.core.clientmessageservice.impl.AEClientService,10,0,7,11,7,1,6,126,1,70,21,NO
Public Class,com.aelitis.azureus.core.clientmessageservice.impl.ClientConnection,14,0,20,13,20,0,20,166,1,85,32,NO
Public Class,com.aelitis.azureus.core.clientmessageservice.impl.ClientMessage,2,0,8,5,8,0,8,41,1,67,10,NO
Public Class,com.aelitis.azureus.core.clientmessageservice.impl.NonBlockingReadWriteService,10,0,8,10,8,2,6,178,1,66,16,NO
Public Class,com.aelitis.azureus.core.clientmessageservice.secure.impl.SecureMessageServiceClientHelper,10,0,5,3,6,0,5,95,1,44,10,NO
Public Class,com.aelitis.azureus.core.clientmessageservice.secure.impl.SecureMessageServiceClientImpl,9,0,8,13,8,0,6,273,1,71,35,NO
Public Class,com.aelitis.azureus.core.clientmessageservice.secure.impl.SecureMessageServiceClientMessageImpl,1,0,7,5,7,0,5,52,1,71,7,NO
Public Class,com.aelitis.azureus.core.clientmessageservice.secure.SecureMessageServiceClientFactory,3,0,0,0,1,0,1,13,1,0,1,NO
Public Class,com.aelitis.azureus.core.cnetwork.ContentNetworkException,0,0,2,0,2,0,2,17,2,0,2,NO
Public Class,com.aelitis.azureus.core.cnetwork.ContentNetworkManagerFactory,2,0,0,0,2,0,2,13,1,0,2,NO
Public Abstract Class,com.aelitis.azureus.core.cnetwork.impl.ContentNetworkImpl,12,1,36,8,37,0,23,334,1,90,51,NO
Public Class,com.aelitis.azureus.core.cnetwork.impl.ContentNetworkManagerImpl,21,0,15,2,19,0,12,346,1,77,57,NO
Public Class,com.aelitis.azureus.core.cnetwork.impl.ContentNetworkVuze,1,0,1,0,51,0,0,48,3,0,1,NO
Public Class,com.aelitis.azureus.core.cnetwork.impl.ContentNetworkVuzeGeneric,16,1,13,12,50,1,6,424,2,69,75,NO
Public Class,com.aelitis.azureus.core.content.AzureusContentDirectoryManager,1,0,0,0,2,0,2,19,1,0,2,NO
Public Class,com.aelitis.azureus.core.content.AzureusPlatformContentDirectory,32,0,6,0,9,0,8,317,1,74,25,NO
Public Class,com.aelitis.azureus.core.content.ContentException,0,0,2,0,2,0,2,17,2,0,2,NO
Public Abstract Class,com.aelitis.azureus.core.content.RelatedContent,5,1,38,14,38,0,28,276,1,86,37,NO
Public Class,com.aelitis.azureus.core.content.RelatedContentManager,66,0,77,38,81,23,26,3482,1,95,458,NO
Public Class,com.aelitis.azureus.core.content.RelatedContentSearcher,39,0,27,15,28,17,2,1582,1,90,197,NO
Public Class,com.aelitis.azureus.core.crypto.VuzeCryptoException,0,0,1,0,1,0,1,11,2,0,1,NO
